년도,월,충남,충남 천안시,충남 동남구,충남 서북구,충남 공주시,충남 보령시,충남 아산시,충남 서산시,충남 논산시,충남 계룡시,충남 연기군,충남 홍성군,충남 예산군,충남 당진시
2020,1,166483.0,200450.0,144453.0,230121.0,118886.0,135900.0,148763.0,148739.0,110000.0,143591.0,,144541.0,121722.0,165851.0
2020,2,167143.0,201987.0,144651.0,232367.0,118932.0,135675.0,148941.0,148672.0,109891.0,144068.0,,144761.0,121862.0,165417.0
2020,3,167491.0,202936.0,144651.0,233820.0,119045.0,135525.0,148797.0,148394.0,110016.0,145182.0,,145152.0,121534.0,165021.0
2020,4,167768.0,203836.0,145000.0,235012.0,118977.0,134875.0,148559.0,148272.0,110234.0,145500.0,,145848.0,120991.0,164667.0
2020,5,167973.0,204307.0,145174.0,235641.0,118955.0,134550.0,148686.0,148228.0,110125.0,146068.0,,146424.0,120250.0,164660.0
2020,6,168627.0,205610.0,145884.0,237258.0,119159.0,133638.0,149021.0,147911.0,110203.0,148864.0,,147946.0,119547.0,164667.0
2020,7,171998.0,212029.0,148198.0,245852.0,121466.0,133713.0,151030.0,147078.0,110672.0,156727.0,,148859.0,120500.0,164868.0
2020,8,174913.0,217153.0,149767.0,252859.0,126614.0,134125.0,152572.0,147789.0,111313.0,161375.0,,149793.0,120957.0,164951.0
2020,9,177257.0,221327.0,151570.0,258289.0,129636.0,135200.0,153873.0,148567.0,112969.0,163466.0,,151772.0,121647.0,164090.0
2020,10,178649.0,223682.0,153128.0,261066.0,131773.0,135575.0,154903.0,148844.0,113656.0,164534.0,,153467.0,121922.0,163701.0
2020,11,180549.0,227228.0,155058.0,265469.0,132523.0,136150.0,156148.0,149039.0,114000.0,165318.0,,155576.0,124026.0,163264.0
2020,12,183526.0,232674.0,159349.0,271527.0,135409.0,137000.0,157949.0,149289.0,115750.0,166284.0,,158435.0,125526.0,163007.0
2021,1,186077.0,235710.0,161471.0,275047.0,141705.0,137950.0,162093.0,149622.0,116406.0,167182.0,,161783.0,126147.0,162403.0
2021,2,188582.0,238976.0,163558.0,278938.0,144114.0,138835.0,165547.0,149967.0,117150.0,171886.0,,165770.0,128019.0,161799.0
2021,3,190820.0,241962.0,165163.0,282656.0,145568.0,139795.0,168441.0,150367.0,118000.0,175909.0,,169989.0,129428.0,161382.0
2021,4,193544.0,245798.0,167965.0,287039.0,146864.0,141700.0,171627.0,151956.0,118531.0,178489.0,,175272.0,130207.0,160646.0
2021,5,195663.0,248438.0,170244.0,289871.0,147795.0,143225.0,174788.0,152878.0,118906.0,180864.0,,179522.0,131638.0,160021.0
2021,6,198156.0,251176.0,173401.0,292387.0,149182.0,145013.0,178924.0,154211.0,119750.0,184830.0,,184370.0,132043.0,159604.0
