년도,월,제주,제주 제주시,제주 서귀포시
2020,1,287394.0,306071.0,229000.0
2020,2,286937.0,305771.0,228054.0
2020,3,286456.0,305400.0,227228.0
2020,4,285805.0,304886.0,226152.0
2020,5,284935.0,304057.0,225152.0
2020,6,284557.0,303871.0,224174.0
2020,7,284294.0,303871.0,223087.0
2020,8,284113.0,303757.0,222696.0
2020,9,283991.0,303757.0,222196.0
2020,10,283900.0,303800.0,221685.0
2020,11,283823.0,303771.0,221457.0
2020,12,284321.0,304414.0,221500.0
2021,1,285892.0,306314.0,222043.0
2021,2,288040.0,308871.0,222913.0
2021,3,289720.0,310943.0,223370.0
2021,4,292064.0,313814.0,224065.0
2021,5,300453.0,324614.0,224913.0
2021,6,317029.0,344400.0,231457.0
