년도,월,전국,수도권,지방권,6대광역시,5대광역시,9개도,8개도,세종
2020,1,366793.0,526563.0,216470.0,282145.0,279447.0,267026.0,159128.0,373034.0
2020,2,368783.0,529737.0,217346.0,283622.0,280685.0,269711.0,159420.0,382547.0
2020,3,372016.0,535290.0,218396.0,286740.0,281802.0,273689.0,159699.0,405333.0
2020,4,373252.0,537404.0,218805.0,288289.0,282207.0,275851.0,159834.0,414208.0
2020,5,373608.0,537976.0,218958.0,289127.0,282411.0,276896.0,159900.0,415734.0
2020,6,375821.0,540878.0,220524.0,291510.0,284258.0,279176.0,160928.0,426547.0
2020,7,380260.0,547544.0,222866.0,293779.0,286501.0,282802.0,162478.0,455479.0
2020,8,383529.0,551580.0,225414.0,295977.0,289025.0,285607.0,163605.0,501789.0
2020,9,386235.0,554605.0,227820.0,298907.0,292516.0,287988.0,164465.0,523888.0
2020,10,387973.0,556292.0,229605.0,301505.0,295565.0,289446.0,165065.0,529898.0
2020,11,391180.0,559427.0,232881.0,306330.0,301179.0,292432.0,166374.0,534018.0
2020,12,396418.0,564152.0,238600.0,313976.0,310102.0,297085.0,169487.0,538273.0
2021,1,401083.0,569996.0,242156.0,319357.0,315661.0,301537.0,171393.0,541534.0
2021,2,406808.0,578553.0,245216.0,324733.0,320582.0,307255.0,172916.0,544419.0
2021,3,410921.0,584631.0,247481.0,329139.0,324076.0,311488.0,174183.0,546018.0
2021,4,414983.0,590858.0,249507.0,333113.0,326852.0,315521.0,175607.0,547445.0
2021,5,419019.0,596817.0,251732.0,337314.0,330023.0,319114.0,177125.0,547383.0
2021,6,426064.0,607706.0,255160.0,343728.0,335004.0,325519.0,179434.0,545648.0
