년도,월,경남,경남 창원시,경남 의창구,경남 성산구,경남 마산합포구,경남 마산회원구,경남 진해구,경남 진주시,경남 통영시,경남 사천시,경남 김해시,경남 밀양시,경남 거제시,경남 양산시
2020,1,175444.0,203255.0,227594.0,239928.0,167402.0,172701.0,183604.0,182016.0,148500.0,127880.0,160399.0,127966.0,154366.0,173243.0
2020,2,176087.0,204877.0,230594.0,242370.0,167554.0,173370.0,184813.0,182099.0,149053.0,127694.0,161145.0,127398.0,154134.0,172993.0
2020,3,176599.0,205834.0,232689.0,243326.0,167728.0,174582.0,185094.0,182286.0,149118.0,127519.0,162268.0,127250.0,154067.0,172711.0
2020,4,176833.0,206074.0,233515.0,243377.0,167696.0,174777.0,185333.0,182859.0,149289.0,127407.0,162913.0,127091.0,153902.0,172633.0
2020,5,176734.0,205779.0,233117.0,242830.0,167728.0,174652.0,185083.0,183193.0,149303.0,127278.0,163007.0,126784.0,153518.0,172617.0
2020,6,177332.0,206894.0,236107.0,244188.0,168065.0,175065.0,185354.0,184016.0,149526.0,126972.0,163775.0,126648.0,153506.0,172508.0
2020,7,179220.0,211491.0,247622.0,250804.0,168815.0,176587.0,186417.0,184703.0,149395.0,126620.0,164210.0,126455.0,155274.0,172574.0
2020,8,180272.0,214038.0,252648.0,255134.0,169109.0,177685.0,187161.0,185438.0,150461.0,126213.0,164196.0,126261.0,155921.0,172582.0
2020,9,180955.0,215747.0,256464.0,257714.0,169337.0,178391.0,187729.0,185938.0,151086.0,125639.0,163971.0,125989.0,156366.0,172828.0
2020,10,181422.0,216662.0,259735.0,258598.0,169402.0,178576.0,187844.0,186750.0,151875.0,125269.0,163703.0,125727.0,156543.0,173383.0
2020,11,183682.0,222776.0,277117.0,266457.0,169598.0,180880.0,189125.0,187625.0,151770.0,124815.0,163435.0,125773.0,156165.0,174672.0
2020,12,189495.0,235696.0,305173.0,287739.0,169815.0,185696.0,193266.0,189599.0,152428.0,124296.0,164623.0,125625.0,155616.0,181445.0
2021,1,192282.0,239370.0,309270.0,291616.0,170576.0,191587.0,196573.0,191323.0,153125.0,123963.0,165935.0,125977.0,156555.0,187973.0
2021,2,193683.0,240000.0,308352.0,291239.0,172152.0,193310.0,198385.0,193656.0,154076.0,123796.0,167312.0,126977.0,157811.0,191410.0
2021,3,194688.0,239598.0,302418.0,288768.0,173087.0,194978.0,203375.0,195703.0,155289.0,123704.0,168344.0,127614.0,159494.0,194660.0
2021,4,195934.0,240060.0,300714.0,285928.0,174022.0,195533.0,210521.0,197385.0,158467.0,123676.0,169417.0,127932.0,160220.0,197867.0
2021,5,197255.0,240686.0,299500.0,285246.0,174859.0,195620.0,215281.0,199490.0,160743.0,123398.0,170707.0,128364.0,160549.0,201191.0
2021,6,199098.0,242194.0,301622.0,286152.0,177489.0,197185.0,216104.0,201292.0,163921.0,123093.0,173134.0,129125.0,161079.0,204215.0
