년도,월,충북,충북 (구)청주시,충북 (구)상당구,충북 (구)흥덕구,충북 청주시,충북 상당구,충북 서원구,충북 흥덕구,충북 청원구,충북 충주시,충북 제천시,충북 (구)청원군,충북 음성군
2020,1,146888.0,,,,165093.0,154992.0,156526.0,183859.0,158444.0,131877.0,119528.0,,112161.0
2020,2,147137.0,,,,165724.0,155225.0,156936.0,185135.0,158813.0,131311.0,119454.0,,111196.0
2020,3,147539.0,,,,166328.0,155467.0,157615.0,186000.0,159313.0,131462.0,119454.0,,110857.0
2020,4,147860.0,,,,167040.0,155867.0,158096.0,187224.0,159875.0,131075.0,119194.0,,110250.0
2020,5,148547.0,,,,168161.0,156367.0,158833.0,189013.0,161076.0,131302.0,118824.0,,109732.0
2020,6,154150.0,,,,176612.0,160100.0,163494.0,201186.0,172847.0,133425.0,118639.0,,109375.0
2020,7,155730.0,,,,178807.0,161567.0,164487.0,203712.0,176535.0,134877.0,118472.0,,109339.0
2020,8,156354.0,,,,179583.0,162733.0,164872.0,204603.0,177229.0,135708.0,118583.0,,109429.0
2020,9,156588.0,,,,179741.0,162650.0,164955.0,204929.0,177458.0,136547.0,118676.0,,109643.0
2020,10,156766.0,,,,179851.0,162650.0,164865.0,205410.0,177389.0,137255.0,118741.0,,109821.0
2020,11,157491.0,,,,180452.0,163283.0,164878.0,206590.0,177826.0,139132.0,119009.0,,110554.0
2020,12,159920.0,,,,183858.0,164550.0,165622.0,214385.0,180181.0,140575.0,119472.0,,110911.0
2021,1,161308.0,,,,185609.0,166267.0,166205.0,217224.0,181771.0,142014.0,120009.0,,111339.0
2021,2,163077.0,,,,187876.0,167235.0,166987.0,220963.0,184833.0,143264.0,120685.0,,112946.0
2021,3,165036.0,,,,190544.0,169377.0,168199.0,224263.0,188688.0,144146.0,121259.0,,114375.0
2021,4,167153.0,,,,193174.0,171000.0,169506.0,228321.0,191736.0,145189.0,122009.0,,116929.0
2021,5,169016.0,,,,195291.0,172408.0,171513.0,231269.0,193507.0,146736.0,123361.0,,119143.0
2021,6,172045.0,,,,198722.0,174400.0,174474.0,235859.0,197188.0,148675.0,126731.0,,123054.0
