년도,월,광주,광주 동구,광주 서구,광주 남구,광주 북구,광주 광산구
2020,1,234795.0,246615.0,251500.0,320864.0,186939.0,228283.0
2020,2,234962.0,246858.0,251699.0,320891.0,187271.0,228300.0
2020,3,235014.0,246953.0,251801.0,320909.0,187402.0,228233.0
2020,4,234976.0,246966.0,251890.0,320704.0,187479.0,228040.0
2020,5,234781.0,246993.0,251875.0,319835.0,187424.0,227847.0
2020,6,234692.0,246818.0,251956.0,319246.0,187534.0,227670.0
2020,7,234753.0,246932.0,252191.0,319022.0,187649.0,227663.0
2020,8,234590.0,247095.0,252353.0,316960.0,187966.0,227613.0
2020,9,234530.0,247473.0,252375.0,315638.0,188216.0,227707.0
2020,10,234806.0,247905.0,252537.0,316478.0,188491.0,227763.0
2020,11,235687.0,249115.0,252971.0,319277.0,188802.0,228603.0
2020,12,240369.0,255331.0,255735.0,328232.0,190771.0,235410.0
2021,1,242475.0,257723.0,257375.0,332313.0,192131.0,237670.0
2021,2,243773.0,258696.0,258235.0,334039.0,193393.0,239203.0
2021,3,244850.0,259257.0,258765.0,335075.0,194582.0,240717.0
2021,4,246327.0,260122.0,259632.0,337530.0,196085.0,242270.0
2021,5,247921.0,261730.0,260368.0,339941.0,198018.0,243770.0
2021,6,251318.0,265304.0,262809.0,343884.0,201762.0,247250.0
